iter	Passed	Remaining
401	15342	30456
402	15374	30406
403	15407	30357
404	15440	30309
405	15481	30275
406	15546	30291
407	15601	30284
408	15638	30245
409	15683	30218
410	15720	30179
411	15766	30154
412	15810	30127
413	15850	30092
414	15884	30046
415	15917	29999
416	15965	29977
417	16013	29957
418	16063	29942
419	16117	29931
420	16174	29929
421	16249	29956
422	16316	29971
423	16361	29944
424	16405	29916
425	16444	29878
426	16481	29836
427	16518	29795
428	16555	29753
429	16590	29708
430	16623	29659
431	16657	29612
432	16700	29583
433	16735	29537
434	16784	29518
435	16838	29505
436	16898	29504
437	16937	29466
438	16978	29432
439	17016	29391
440	17056	29355
441	17090	29308
442	17123	29260
443	17157	29214
444	17191	29166
445	17225	29120
446	17259	29074
447	17292	29026
448	17326	28980
449	17359	28933
450	17400	28898
451	17436	28855
452	17484	28831
453	17548	28835
454	17609	28832
455	17647	28793
456	17691	28763
457	17726	28718
458	17760	28672
459	17793	28624
460	17827	28577
461	17860	28530
462	17894	28484
463	17927	28437
464	17967	28400
465	18009	28366
466	18049	28329
467	18081	28281
468	18115	28234
469	18146	28185
470	18179	28137
471	18209	28085
472	18240	28035
473	18271	27985
474	18303	27936
475	18335	27888
476	18365	27837
477	18397	27788
478	18428	27738
479	18461	27692
480	18492	27642
481	18523	27592
482	18554	27543
483	18587	27496
484	18618	27448
485	18649	27398
486	18681	27350
487	18713	27302
488	18744	27254
489	18778	27209
490	18810	27162
491	18842	27115
492	18877	27071
493	18911	27027
494	18946	26984
495	18981	26942
496	19017	26899
497	19052	26857
498	19087	26813
499	19121	26770
500	19157	26728
501	19191	26685
502	19227	26643
503	19262	26601
504	19298	26558
505	19332	26515
506	19368	26474
507	19402	26430
508	19437	26387
509	19471	26343
510	19507	26302
511	19541	26258
512	19576	26215
513	19610	26173
514	19646	26132
515	19680	26087
516	19714	26044
517	19749	26002
518	19783	25958
519	19818	25916
520	19852	25872
521	19885	25828
522	19920	25785
523	19955	25743
524	19988	25699
525	20020	25654
526	20053	25609
527	20085	25563
528	20116	25515
529	20147	25468
530	20178	25423
531	20212	25379
532	20245	25335
533	20277	25290
534	20309	25244
535	20340	25198
536	20382	25164
537	20428	25136
538	20462	25093
539	20495	25050
540	20528	25006
541	20562	24962
542	20599	24924
543	20646	24897
544	20685	24860
545	20718	24816
546	20749	24770
547	20783	24727
548	20814	24682
549	20846	24636
550	20879	24592
551	20911	24548
552	20946	24506
553	20979	24463
554	21013	24421
555	21049	24381
556	21084	24340
557	21119	24298
558	21154	24257
559	21188	24215
560	21221	24172
561	21257	24132
562	21291	24089
563	21327	24050
564	21362	24009
565	21397	23967
566	21431	23926
567	21466	23885
568	21501	23844
569	21536	23803
570	21570	23761
571	21605	23720
572	21639	23678
573	21673	23637
574	21707	23595
575	21740	23552
576	21772	23508
577	21806	23466
578	21839	23423
579	21872	23381
580	21905	23338
581	21939	23296
582	21979	23261
583	22020	23227
584	22057	23189
585	22093	23149
586	22131	23111
587	22167	23072
588	22202	23032
589	22239	22992
590	22275	22954
591	22318	22922
592	22352	22880
593	22384	22837
594	22417	22794
595	22449	22750
596	22479	22705
597	22510	22660
598	22542	22617
599	22573	22573
600	22605	22529
601	22635	22485
602	22666	22440
603	22696	22396
604	22728	22352
605	22761	22310
606	22798	22273
607	22831	22230
608	22865	22189
609	22905	22154
610	22939	22113
611	22972	22071
612	23005	22029
613	23037	21987
614	23071	21945
615	23105	21905
616	23147	21871
617	23179	21829
618	23211	21786
619	23243	21743
620	23275	21701
621	23306	21658
622	23337	21613
623	23368	21570
624	23400	21528
625	23432	21486
626	23463	21442
627	23495	21399
628	23526	21357
629	23558	21314
630	23590	21272
631	23621	21229
632	23654	21188
633	23687	21147
634	23720	21105
635	23752	21063
636	23785	21022
637	23819	20981
638	23851	20940
639	23882	20897
640	23912	20853
641	23943	20810
642	23988	20779
643	24030	20746
644	24061	20704
645	24094	20662
646	24125	20620
647	24156	20578
648	24190	20537
649	24226	20499
650	24265	20463
651	24301	20425
652	24338	20388
653	24379	20353
654	24418	20317
655	24453	20278
656	24492	20242
657	24538	20212
658	24579	20178
659	24625	20148
660	24658	20107
661	24689	20065
662	24720	20022
663	24751	19980
664	24782	19938
665	24813	19895
666	24843	19852
667	24875	19810
668	24907	19769
669	24939	19728
670	24972	19687
671	25002	19644
672	25033	19602
673	25064	19560
674	25094	19518
675	25126	19476
676	25158	19435
677	25189	19393
678	25222	19353
679	25253	19311
680	25284	19269
681	25315	19228
682	25345	19185
683	25374	19142
684	25405	19100
685	25437	19059
686	25469	19018
687	25500	18976
688	25531	18935
689	25562	18893
690	25593	18852
691	25625	18811
692	25657	18770
693	25689	18730
694	25722	18690
695	25754	18649
696	25789	18611
697	25824	18572
698	25858	18533
699	25893	18495
700	25927	18456
701	25962	18417
702	25996	18379
703	26033	18341
704	26068	18303
705	26103	18265
706	26138	18226
707	26174	18188
708	26208	18149
709	26242	18110
710	26277	18072
711	26312	18034
712	26347	17995
713	26382	17957
714	26416	17919
715	26451	17880
716	26486	17842
717	26521	17804
718	26555	17765
719	26587	17725
720	26621	17686
721	26655	17647
722	26689	17608
723	26725	17570
724	26760	17532
725	26795	17494
726	26829	17455
727	26863	17417
728	26896	17377
729	26930	17338
730	26975	17307
731	27025	17278
732	27064	17242
733	27098	17204
734	27130	17164
735	27161	17123
736	27192	17083
737	27224	17043
738	27256	17003
739	27289	16963
740	27320	16923
741	27351	16882
742	27384	16843
743	27416	16803
744	27448	16764
745	27480	16724
746	27512	16684
747	27545	16645
748	27577	16605
749	27611	16566
750	27645	16528
751	27681	16491
752	27714	16452
753	27748	16413
754	27782	16374
755	27815	16336
756	27850	16298
757	27884	16260
758	27919	16221
759	27954	16184
760	27991	16147
761	28025	16109
762	28059	16070
763	28092	16032
764	28125	15992
765	28157	15953
766	28187	15913
767	28218	15872
768	28250	15833
769	28281	15793
770	28313	15753
771	28343	15713
772	28376	15674
773	28407	15635
774	28439	15595
775	28471	15556
776	28502	15517
777	28536	15478
778	28571	15440
779	28605	15403
780	28640	15365
781	28676	15328
782	28710	15290
783	28745	15252
784	28779	15214
785	28814	15176
786	28847	15138
787	28881	15100
788	28913	15061
789	28945	15022
790	28978	14984
791	29013	14946
792	29049	14909
793	29085	14872
794	29119	14834
795	29154	14796
796	29189	14759
797	29225	14722
798	29261	14685
799	29298	14649
800	29332	14611
801	29367	14573
802	29402	14536
803	29437	14498
804	29470	14460
805	29505	14423
806	29538	14385
807	29571	14346
808	29606	14309
809	29639	14271
810	29674	14233
811	29708	14195
812	29742	14158
813	29776	14120
814	29811	14082
815	29846	14045
816	29882	14008
817	29920	13972
818	29958	13936
819	29993	13899
820	30027	13861
821	30062	13824
822	30093	13785
823	30125	13746
824	30156	13707
825	30190	13669
826	30221	13630
