iter	Passed	Remaining
479	696	754
480	697	752
481	699	751
482	700	749
483	701	748
484	703	746
485	704	745
486	706	744
487	707	742
488	709	741
489	710	739
490	711	737
491	713	736
492	714	734
493	716	733
494	717	731
495	718	730
496	720	729
497	721	727
498	723	725
499	724	724
500	725	722
501	727	721
502	728	720
503	730	718
504	731	717
505	733	716
506	734	714
507	736	713
508	737	711
509	739	710
510	740	708
511	742	707
512	743	706
513	745	704
514	746	703
515	748	701
516	749	700
517	750	698
518	752	697
519	753	695
520	755	694
521	756	692
522	758	691
523	759	690
524	761	688
525	762	687
526	764	685
527	765	684
528	766	682
529	769	682
530	770	680
531	771	678
532	773	677
533	774	676
534	776	674
535	777	673
536	779	671
537	780	670
538	781	668
539	783	667
540	784	665
541	786	664
542	787	662
543	788	661
544	790	659
545	791	658
546	793	656
547	794	655
548	796	654
549	797	652
550	798	650
551	800	649
552	801	648
553	803	646
554	804	645
555	806	643
556	807	642
557	808	640
558	810	639
559	811	637
560	813	636
561	815	635
562	817	634
563	818	632
564	819	631
565	821	629
566	822	628
567	824	626
568	825	625
569	827	623
570	828	622
571	830	621
572	831	619
573	832	618
574	834	616
575	835	615
576	837	613
577	838	612
578	840	611
579	842	609
580	843	608
581	844	606
582	846	605
583	847	603
584	849	602
585	850	601
586	852	599
587	853	598
588	855	596
589	856	595
590	859	594
591	860	592
592	861	591
593	863	589
594	864	588
595	865	586
596	867	585
597	868	583
598	870	582
599	871	581
600	873	579
601	874	578
602	875	576
603	877	575
604	878	573
605	879	572
606	882	571
607	884	569
608	885	568
609	887	567
610	888	565
611	890	564
612	891	562
613	892	561
614	894	559
615	896	558
616	897	557
617	899	555
618	900	554
619	901	552
620	903	551
621	904	549
622	905	548
623	907	546
624	908	545
625	910	543
626	911	542
627	913	540
628	914	539
629	915	537
630	917	536
631	918	534
632	919	533
633	921	531
634	922	530
635	923	528
636	925	527
637	926	525
638	928	524
639	929	523
640	931	521
641	932	520
642	934	518
643	935	517
644	937	515
645	938	514
646	939	512
647	941	511
648	942	509
649	944	508
650	945	507
651	947	505
652	948	504
653	950	502
654	951	501
655	953	499
656	954	498
657	956	496
658	957	495
659	958	494
660	960	492
661	962	491
662	963	489
663	965	488
664	966	486
665	968	485
666	970	484
667	972	483
668	973	481
669	975	480
670	976	479
671	978	477
672	979	476
673	981	474
674	982	473
675	984	471
676	985	470
677	987	468
678	988	467
679	990	465
680	991	464
681	993	463
682	994	461
683	995	460
684	997	458
685	998	457
686	1000	455
687	1001	454
688	1004	453
689	1005	451
690	1007	450
691	1008	448
692	1009	447
693	1011	445
694	1012	444
695	1014	442
696	1015	441
697	1017	440
698	1018	438
699	1019	437
700	1021	435
701	1022	434
702	1024	432
703	1025	431
704	1026	429
705	1028	428
706	1029	426
707	1031	425
708	1032	423
709	1034	422
710	1036	421
711	1037	419
712	1038	418
713	1040	416
714	1041	415
715	1042	413
716	1044	412
717	1045	410
718	1047	409
719	1048	407
720	1050	406
721	1051	404
722	1053	403
723	1054	402
724	1056	400
725	1057	399
726	1059	397
727	1061	396
728	1062	395
729	1063	393
730	1065	391
731	1066	390
732	1068	389
733	1069	387
734	1070	386
735	1072	384
736	1073	383
737	1075	381
738	1076	380
739	1078	378
740	1079	377
741	1080	375
742	1082	374
743	1083	372
744	1085	371
745	1086	370
746	1088	368
747	1089	367
748	1091	365
749	1092	364
750	1094	362
751	1095	361
752	1096	359
753	1098	358
754	1099	356
755	1101	355
756	1102	354
757	1104	352
758	1105	351
759	1107	349
760	1108	348
761	1109	346
762	1111	345
763	1113	343
764	1114	342
765	1116	340
766	1117	339
767	1119	338
768	1120	336
769	1122	335
770	1124	333
771	1125	332
772	1127	331
773	1128	329
774	1129	328
775	1131	326
776	1132	325
777	1133	323
778	1135	322
779	1136	320
780	1138	319
781	1139	317
782	1142	316
783	1143	315
784	1145	313
785	1146	312
786	1147	310
787	1149	309
788	1150	307
789	1152	306
790	1153	304
791	1154	303
792	1156	301
793	1157	300
794	1158	298
795	1160	297
796	1161	295
797	1163	294
798	1164	292
799	1166	291
800	1167	290
801	1169	288
802	1170	287
803	1172	285
804	1173	284
805	1174	282
806	1176	281
807	1177	279
808	1179	278
809	1180	276
810	1182	275
811	1183	274
812	1184	272
813	1186	271
814	1187	269
815	1189	268
816	1190	266
817	1192	265
818	1193	263
819	1194	262
820	1196	260
821	1197	259
822	1199	257
823	1200	256
824	1201	254
825	1203	253
826	1204	251
827	1205	250
828	1208	249
829	1209	247
830	1210	246
831	1212	244
832	1213	243
833	1214	241
834	1216	240
835	1217	238
836	1219	237
837	1220	235
838	1222	234
839	1223	233
840	1224	231
841	1226	230
842	1227	228
843	1229	227
844	1230	225
845	1231	224
846	1233	222
847	1234	221
848	1236	219
849	1237	218
850	1239	216
851	1240	215
852	1242	214
853	1243	212
854	1244	211
855	1246	209
856	1247	208
857	1249	206
858	1250	205
859	1252	203
860	1253	202
861	1255	200
862	1256	199
863	1258	198
864	1259	196
865	1261	195
866	1262	193
867	1264	192
868	1265	190
869	1267	189
870	1268	187
871	1270	186
872	1271	185
873	1273	183
874	1274	182
875	1276	180
876	1277	179
877	1279	177
878	1280	176
879	1281	174
880	1283	173
881	1284	171
882	1286	170
883	1287	168
884	1289	167
885	1290	166
886	1291	164
887	1293	163
888	1295	161
889	1296	160
890	1297	158
891	1299	157
892	1300	155
893	1302	154
894	1304	152
895	1305	151
896	1306	150
897	1308	148
898	1309	147
899	1311	145
900	1312	144
901	1314	142
902	1315	141
903	1316	139
904	1318	138
905	1319	136
906	1321	135
907	1322	134
908	1324	132
909	1325	131
910	1327	129
911	1328	128
912	1329	126
913	1331	125
914	1332	123
915	1334	122
916	1335	120
917	1337	119
918	1338	117
919	1339	116
920	1341	115
921	1342	113
922	1344	112
923	1345	110
924	1347	109
925	1348	107
926	1349	106
927	1351	104
928	1352	103
929	1354	101
930	1355	100
931	1356	98
932	1358	97
933	1359	96
934	1361	94
935	1362	93
936	1364	91
937	1365	90
938	1366	88
939	1368	87
940	1369	85
941	1371	84
942	1372	82
943	1373	81
944	1375	80
945	1376	78
946	1377	77
947	1379	75
948	1380	74
949	1382	72
950	1384	71
951	1385	69
952	1386	68
953	1388	66
954	1389	65
955	1391	64
956	1392	62
957	1393	61
958	1395	59
959	1396	58
960	1398	56
961	1399	55
962	1401	53
963	1402	52
964	1404	50
965	1405	49
966	1406	48
967	1407	46
968	1409	45
969	1410	43
970	1412	42
971	1413	40
972	1415	39
973	1416	37
974	1418	36
975	1419	34
976	1420	33
977	1422	31
978	1423	30
979	1425	29
980	1426	27
981	1427	26
982	1429	24
983	1430	23
984	1431	21
985	1433	20
986	1434	18
987	1435	17
988	1437	15
989	1438	14
990	1440	13
991	1441	11
992	1443	10
993	1444	8
994	1445	7
995	1447	5
996	1448	4
997	1450	2
998	1451	1
999	1453	0
