iter	RMSE
454	18381.15268
455	18379.22313
456	18373.16218
457	18355.5
458	18326.933
459	18310.99989
460	18279.34051
461	18255.7881
462	18241.61176
463	18223.01743
464	18199.37562
465	18177.87853
466	18154.39424
467	18131.86439
468	18128.31732
469	18111.41034
470	18092.04315
471	18072.2406
472	18057.63586
473	18033.36342
474	18005.01331
475	17969.10453
476	17945.23325
477	17918.63816
478	17895.60139
479	17877.71416
480	17860.43084
481	17832.96362
482	17815.20041
483	17794.63432
484	17758.02425
485	17740.94341
486	17724.61642
487	17697.44242
488	17678.86251
489	17630.36004
490	17602.3771
491	17593.57359
492	17566.65211
493	17551.28985
494	17539.48803
495	17521.79549
496	17507.066
497	17491.99307
498	17453.2402
499	17430.00386
500	17417.47501
501	17399.97977
502	17382.60342
503	17357.26221
504	17340.54342
505	17303.97783
506	17291.24382
507	17262.52766
508	17245.17769
509	17208.3508
510	17164.98744
511	17143.4588
512	17123.25433
513	17109.60413
514	17088.51709
515	17073.37339
516	17062.61733
517	17038.51877
518	17011.9532
519	16987.96316
520	16962.52928
521	16946.81705
522	16924.40004
523	16904.70683
524	16889.27941
525	16864.51746
526	16848.09172
527	16835.63869
528	16821.64055
529	16799.82669
530	16784.89205
531	16762.73185
532	16747.23765
533	16732.54508
534	16712.84923
535	16687.81096
536	16667.58657
537	16659.84526
538	16644.19792
539	16616.95856
540	16610.90128
541	16597.52742
542	16594.44741
543	16564.17839
544	16537.31635
545	16515.54589
546	16496.1296
547	16480.46368
548	16461.78973
549	16434.96448
550	16428.34889
551	16400.32242
552	16376.29888
553	16352.40122
554	16318.7643
555	16301.93779
556	16279.10806
557	16275.62324
558	16256.60251
559	16229.46608
560	16218.59946
561	16207.59688
562	16187.26665
563	16167.39678
564	16147.49876
565	16129.4958
566	16105.58349
567	16084.71447
568	16066.83307
569	16051.09607
570	16014.1302
571	16010.7032
572	15991.91977
573	15982.11154
574	15974.31477
575	15962.40928
576	15944.9426
577	15936.08182
578	15911.27797
579	15880.56102
580	15844.6123
581	15811.75789
582	15788.31634
583	15777.5533
584	15761.71306
585	15745.85256
586	15729.08026
587	15720.62405
588	15716.75941
589	15707.33858
590	15687.61016
591	15673.61478
592	15654.56892
593	15629.06736
594	15614.44952
595	15597.70438
596	15580.41264
597	15572.49258
598	15558.27351
599	15545.60697
600	15537.51322
601	15518.55202
602	15500.37973
603	15494.60516
604	15487.60066
605	15473.46254
606	15458.36406
607	15446.03018
608	15431.54539
609	15411.39441
610	15386.88257
611	15365.89971
612	15357.18873
613	15333.17223
614	15318.48452
615	15304.42608
616	15297.04437
617	15286.28536
618	15280.08548
619	15270.33538
620	15256.87549
621	15237.87865
622	15221.06928
623	15208.32283
624	15192.97346
625	15190.61512
626	15166.35354
627	15144.98365
628	15126.15765
629	15113.22598
630	15094.67905
631	15063.57657
632	15048.43541
633	15033.41747
634	15024.32728
635	15010.83193
636	15000.55839
637	14977.83843
638	14952.96063
639	14943.62472
640	14930.4827
641	14920.54144
642	14913.16146
643	14898.90195
644	14883.9578
645	14861.70024
646	14847.14795
647	14836.80963
648	14824.87965
649	14821.56058
650	14801.44899
651	14779.83743
652	14770.32142
653	14743.46392
654	14735.31403
655	14720.19956
656	14699.74422
657	14685.86377
658	14666.71767
659	14659.5301
660	14647.9983
661	14637.58984
662	14610.14407
663	14588.8108
664	14572.77899
665	14562.25672
666	14555.44289
667	14544.32995
668	14522.7657
669	14518.3118
670	14505.5397
671	14490.70311
672	14470.09555
673	14455.7285
674	14437.73585
675	14421.94318
676	14397.63318
677	14384.27266
678	14380.82669
679	14364.28292
680	14345.26623
681	14332.54762
682	14322.90186
683	14308.94889
684	14298.98739
685	14265.03205
686	14251.77029
687	14235.91504
688	14216.43438
689	14192.34694
690	14178.05438
691	14164.48539
692	14156.63046
693	14142.5848
694	14128.05512
695	14108.0545
696	14098.32031
697	14084.0435
698	14070.52849
699	14063.80818
700	14058.85478
701	14047.22393
702	14040.25899
703	14030.2447
704	14014.80386
705	13992.24271
706	13983.23914
707	13969.59592
708	13954.76113
709	13948.14478
710	13926.70355
711	13908.00446
712	13895.59856
713	13887.73936
714	13865.89973
715	13848.70639
716	13839.51747
717	13825.84676
718	13812.21627
719	13808.01124
720	13795.95059
721	13779.26192
722	13762.05582
723	13751.42378
724	13740.44447
725	13730.55323
726	13719.47169
727	13703.61036
728	13698.52332
729	13682.47293
730	13661.05028
731	13648.50332
732	13647.1472
733	13643.56751
734	13630.43072
735	13618.21334
736	13596.65124
737	13592.75204
738	13578.83941
739	13555.14325
740	13522.96172
741	13510.06199
742	13498.34363
743	13474.026
744	13469.18276
745	13461.33668
746	13452.55051
747	13442.5579
748	13425.98321
749	13402.63722
750	13395.23599
751	13381.69988
752	13372.80118
753	13357.76826
754	13353.89002
755	13342.19928
756	13322.549
757	13311.2149
758	13303.39018
759	13295.77278
760	13281.79837
761	13263.20497
762	13242.13858
763	13231.9327
764	13224.32777
765	13216.08358
766	13202.069
767	13191.87514
768	13190.68926
769	13173.26173
770	13163.5618
771	13155.32727
772	13145.08477
773	13131.78875
774	13125.26102
775	13114.43753
776	13103.78378
777	13093.22704
778	13085.99698
779	13076.20759
780	13066.39624
781	13059.81244
782	13046.11198
783	13032.79385
784	13018.2866
785	13002.36972
786	12997.61891
787	12986.32836
788	12974.0984
789	12968.17275
790	12958.39901
791	12949.34456
792	12937.66184
793	12926.67388
794	12912.46031
795	12903.78417
796	12886.62693
797	12872.4248
798	12864.76074
799	12863.74669
800	12849.41573
801	12843.37144
802	12831.93406
803	12823.10527
804	12813.75489
805	12799.46019
806	12789.57627
807	12776.13745
808	12765.20431
809	12754.39715
810	12731.97513
811	12718.12837
812	12714.95358
813	12702.73845
814	12688.83608
815	12673.86816
816	12662.07756
817	12647.21154
818	12628.29643
819	12614.7054
820	12600.86899
821	12588.22777
822	12577.48594
823	12558.50651
824	12547.5593
825	12534.35827
826	12522.9295
827	12519.43464
828	12495.0959
829	12487.02518
830	12480.53761
831	12473.58226
832	12458.20072
833	12449.2849
834	12441.41067
835	12432.80551
836	12425.73657
837	12416.20993
838	12403.92532
839	12402.51783
840	12391.42381
841	12376.18404
842	12371.65519
843	12363.038
844	12355.56903
845	12345.98041
846	12340.33059
847	12337.39478
848	12329.34299
849	12321.96848
850	12313.19396
851	12302.00019
852	12295.26247
853	12293.81741
854	12286.6395
855	12270.48799
856	12260.82853
857	12249.99796
858	12235.06826
859	12226.80673
860	12219.67042
861	12214.46457
862	12205.37753
863	12193.89525
864	12177.10102
865	12166.46502
866	12159.01336
867	12141.48956
868	12116.35488
869	12106.76067
870	12097.76326
871	12094.88697
872	12085.43339
873	12068.13246
874	12059.14802
875	12040.5441
876	12037.6249
877	12022.19205
878	12012.89699
879	12008.18567
880	12002.03782
881	11997.16464
882	11986.49456
883	11976.38972
884	11955.38012
885	11941.56835
886	11933.5886
887	11919.81506
888	11912.00876
889	11908.51639
890	11901.6909
891	11896.7003
892	11884.69016
893	11867.68672
894	11862.47259
895	11842.23896
896	11828.96502
897	11818.58281
898	11802.59264
899	11789.04154
900	11776.37043
901	11766.10953
902	11743.23933
903	11733.8957
904	11723.74789
905	11705.02803
906	11697.95702
907	11686.36294
908	11678.04406
909	11676.21489
910	11666.76471
911	11656.6823
912	11646.71641
913	11634.30668
914	11625.24458
915	11617.8166
916	11604.63727
917	11599.70247
918	11589.51706
919	11580.22379
920	11575.5594
921	11566.26608
922	11556.66871
923	11551.75515
924	11546.84215
925	11533.71741
926	11526.72433
927	11518.36192
928	11510.33628
929	11491.77357
930	11483.83979
931	11474.22097
932	11465.51146
933	11463.13196
934	11456.94434
935	11448.62741
936	11441.59162
937	11429.07436
938	11417.56346
939	11408.98522
940	11405.09706
941	11391.78502
942	11384.95291
943	11375.96329
944	11371.65716
945	11362.19774
946	11355.16845
947	11352.90034
948	11345.14906
949	11335.27233
950	11334.09861
951	11326.27615
952	11321.96878
953	11319.10022
954	11306.16604
955	11293.78433
956	11282.34788
957	11266.4094
958	11250.08396
959	11236.43556
960	11225.7462
961	11219.67412
962	11214.02179
963	11205.9252
964	11194.91542
965	11190.29862
966	11186.26495
967	11176.13294
968	11169.63586
969	11160.49238
970	11144.83737
971	11139.10157
972	11132.26764
973	11125.03593
974	11118.2486
975	11112.56414
976	11110.21575
977	11097.70087
978	11089.63161
979	11076.9762
980	11069.67531
981	11064.79931
982	11051.77442
983	11043.8246
984	11032.73574
985	11025.57467
986	11015.35536
987	11011.65197
988	11003.14515
989	10992.93868
990	10978.52712
991	10974.45752
992	10965.66954
993	10956.97229
994	10947.27256
995	10939.08658
996	10929.18301
997	10922.42696
998	10911.41661
999	10909.65603
